smiles,max_spin_ml,spin_buried_vol_ml,ionization_energy_ml,electron_affinity_ml,stability_ml,max_spin_dft,spin_buried_vol_dft,stability_dft,ionization_energy_dft,electron_affinity_dft
C=CC1=C(C(C)C)[CH]C=C1CO,0.19992279,59.390915,1.0764747858047483,-0.2172527313232422,99.39477550000001,0.44963866449682127,52.68781792686272,80.20588470202165,,-0.11763383912205772
CCC(CC)c1sc([O])cc1S,0.40147054,67.95836,0.9981702566146852,-0.1292592287063598,97.884833,0.408226295413891,65.09370315625455,94.68238838556,1.306227374308543,-0.03855916092242495
C=C/C=C/C1=C(SC)[CH]C=C1C,0.18226247,56.863987,0.7865268588066101,-0.3929509818553924,97.75086350000001,,,,,
C=C(C1=C(SC)C=C[CH]1)C(C)C,0.2708925,61.05548,1.0444400310516355,-0.2305974960327148,97.510855,0.31492883957997775,58.92649765927642,93.18005568027753,0.8401058197371976,-0.2653614468129444
C/C=C(/C)C1=C(C)C(C)=C[CH]1,0.30281547,60.830734,0.8823025226593018,-0.347783625125885,95.6899605,,,,0.9350444130781987,-0.3666945857063668
C=C/C=C(/C)C1=C(C)C(C)=C[CH]1,0.28958312,60.220123,0.8266621232032776,-0.3710532784461975,95.740967,0.3793553267769629,48.82197221305461,79.85420587420646,0.9386090320889293,-0.2900144607352697
C/C=C(/CC)C1=C(C)C(C)=C[CH]1,0.29793656,62.21698,0.9326623678207396,-0.3532127737998962,97.32015200000001,0.3520343825109626,62.97620133380583,95.3744822082577,0.8869900835165998,-0.3725449146173454
Cc1c([O])sc2c1CCC[C@@H]2C,0.30660602,60.859028,0.8358082175254822,-0.3611453175544739,95.528727,0.35484303094621017,60.80685924347807,93.06470769616757,0.9496294191059897,-0.3405993976842181
C=CC1=C(C(C)(C)C)[CH]C=C1C,0.2976657,63.53873,0.9741888046264648,-0.3870455324649811,98.655445,0.2767835674518897,33.99545219724598,70.15627382465149,1.0512890879842773,-0.18389221538632228
C=C(CON)c1cc(C)sc1[O],0.22190897,56.12205,1.0827178955078125,-0.1149633899331092,95.0266015,0.2566850512495274,55.36462100900421,92.53036844652785,1.1288943812489212,
CC/C=C(/C)C1=C(C)C(C)=C[CH]1,0.30132794,60.74376,0.8581146001815796,-0.3618415594100952,95.67736300000001,0.39749771501799747,48.81549685492551,78.94061110402563,,-0.35961976935059514
